season,matchday,question_number,text,category,a_pct,b_pct,c_pct,d_pct,e_pct,league_pct,difficulty
LL58,MD01,Q1,"Kristina frê_n Duvemê_la
                           is, by far, the least-known of the three theatrical musicals created by the composing team of Bjê_rn Ulvaeus and Benny Andersson (a.k.a. the male half of ABBA). Name the other two more popular musicals.",THEATRE,59,43,30,20,9,25,hard
LL58,MD01,Q2,"A famous and exquisite bust of this Queen of Egypt, the wife of Ikhnaton and stepmother of Tutankhamen, is on display in the Neues Museum in Berlin.",ART,98,96,88,83,60,80,easy
LL58,MD01,Q3,"Starting in 1998, what candy was advertised as ""The Official Candy of the New Millennium,"" a marketing take on the candy's name?",FOOD/DRINK,86,78,70,64,55,67,easy
LL58,MD01,Q4,"Photographer Ashley Covington Evans on
                           Love Boat
                           , the jock Stan Gable on
                           Revenge of the Nerds
                           , Jefferson D'Arcy on
                           Married___with Children
                           , and Clayburn ""Clay"" Fallmont on
                           Dynasty
                           -- these were all roles masterfully portrayed by what actor?",TELEVISION,74,56,45,26,18,36,medium
LL58,MD01,Q5,"Crystal Mangum, an American woman awaiting trial on charges relating to the April 2011 stabbing death of her boyfriend, first gained notoriety in 2006 for her involvement in an alleged (and subsequently disproved) incident at what university?",CURR EVENTS,89,73,67,55,39,57,medium
LL58,MD01,Q6,"In International Morse code, which letter of the alphabet is represented by three dashes?",SCIENCE,80,76,75,64,50,65,easy
LL58,MD02,Q1,"English businessman and politician (and Rhodes Scholarship progenitor) Cecil Rhodes first demarcated the territory in southern Africa that would become his namesake, and ultimately become what independent African nation?",WORLD HIST,88,88,81,65,35,64,easy
LL58,MD02,Q2,"What is the term for a particular legislative council in the Ottoman Empire, and elsewhere in the Middle East, which has evolved into a term for a specific piece of furniture, as ones were commonly located along the walls of these councils' chambers?",LIFESTYLE,57,42,30,22,8,25,hard
LL58,MD02,Q3,"The popular early 19th c. cookbook
                           A New System of Domestic Cookery
                           was the first published appearance of a recipe for what British delicacy? The recipe states, ""Boil hard five pullet's eggs, and without removing the white, cover completely with a fine relishing forcemeat, in which, let scraped ham, bear a due proportion. Fry of a beautiful yellow brown, and serve with a good gravy in the dish.""",FOOD/DRINK,63,43,32,35,24,34,medium
LL58,MD02,Q4,"What 1977 album, Billy Joel's critical and commercial breakthrough, remains today his best-selling non-compilation release, thanks in part to the classic rock staples ""Just the Way You Are"", ""Movin' Out"", ""Only the Good Die Young"", and ""She's Always a Woman""?",POP MUSIC,69,55,45,31,18,37,medium
LL58,MD02,Q5,"What is the name of the pose in ballet in which the dancer stands on one leg with one arm extended in front, and the other leg and arm extended behind, with both knees straight?",THEATRE,50,47,28,26,19,29,hard
LL58,MD02,Q6,"The likeness of Idahoan William Borah, who served in the upper house of the U.S. Congress from 1907 to 1940, was caricatured on a patch worn on the uniforms of what now-former major league baseball team in the late 1950s/early 1960s?",GAMES/SPORT,85,78,80,67,45,66,easy
LL58,MD03,Q1,"Until Texas A&M quarterback Johnny Manziel did so in 2012, the closest a freshman had come to winning college football's Heisman Trophy occurred in 2004, with what University of Oklahoma running back?",GAMES/SPORT,61,51,50,38,34,43,medium
LL58,MD03,Q2,"The Strait of Malacca separates the Malay Peninsula (and the Asian mainland) from what island, the world's sixth-largest in area?",GEOGRAPHY,70,51,36,19,9,29,hard
LL58,MD03,Q3,"The weekly New York City newspaper
                           The Village Voice
                           was founded in 1955 by Ed Fancher, Dan Wolf, John Wilcock, and what fourth man, who would later win two Pulitzer Prizes (for novels published in 1968 and 1979) and also run for mayor of NYC in 1969?",LITERATURE,72,50,39,25,7,31,hard
LL58,MD03,Q4,"In 1972, Johnny Carson changed
                           The Tonight Show
                           from a live to a taped format, and moved its base from Rockefeller Center in New York to an NBC studio in what California city, named after a pioneer and former New Hampshire dentist?",TELEVISION,93,81,76,65,55,68,easy
LL58,MD03,Q5,"The Main Plot and Bye Plots of 1603, and Guy Fawkes's Gunpowder Plot of 1605, were Catholic plots to overthrow (or worse) what Protestant English monarch? (Name
                           and
                           number, please)",WORLD HIST,84,65,54,29,13,40,medium
LL58,MD03,Q6,This montage presents a complete set within which one item has been redacted. What is the title of this missing item?,POP MUSIC,82,70,59,48,34,52,medium
LL58,MD04,Q1,"The game which in the United States and Canada is called ""checkers"" is better known in the U.K. (and its territories and other former colonies) as what?",GAMES/SPORT,87,79,58,42,22,49,medium
LL58,MD04,Q2,"Coming from the Greek word meaning ""fleshy growth"", this is the medical term for a cancer of the bone, cartilage, fat, muscle, blood vessels, or other connective or supportive tissue.",SCIENCE,70,49,33,24,16,31,hard
LL58,MD04,Q3,"The world's largest oil services corporation (one which provides services to the petroleum exploration and production industry, but does not produce petroleum itself) is not the more famous Halliburton, but what competitor, currently headquartered in Houston but founded in France in 1926?",BUS/ECON,25,26,22,14,10,17,hard
LL58,MD04,Q4,"""Guy"" and ""Girl"" are the main characters in what 2012 Tony award-winning musical (they were also unnamed in the originating 2006 film of the same name)?",THEATRE,70,56,49,45,32,46,medium
LL58,MD04,Q5,In what city was this famous photo taken in 1975?,AMER HIST,92,86,85,69,43,69,easy
LL58,MD04,Q6,"While the word
                           normalcy
                           first appeared in English as early as 1857, it was not widely considered a proper word (the appropriate term was
                           normality
                           ) when this U.S. President propelled it into the mainstream, where it remains today, with his post-war ""Return to Normalcy"" speech.",LANGUAGE,75,60,38,22,6,31,hard
